Madeira;Res. Solo;Fb;Fv;E;Densid.;Leff_Final_m;Leff_Flexao_m;Leff_Cisalhamento_m;Leff_Deformacao_m;Comprimento_Ativo_%;Capacidade_Solo_Utilizada_%;Pressao_Area_Total_kgf/cm2;Pressao_Dispersao_45_kgf/cm2
;kgf/cm²;Mpa;Mpa;Gpa;kg/m³;;;;;;;;
;;;;;;;;;;;;;
C14;0.4;14;3.0;7;290;6.58;7.19;31.87;6.58;156.1;161.6;1.01;7.01
C14;0.6;14;3.0;7;290;5.83;5.97;21.65;5.83;138.3;121.6;1.01;7.01
C14;0.8;14;3.0;7;290;5.25;5.25;16.53;5.35;124.5;101.3;1.01;7.01
C14;1.0;14;3.0;7;290;4.75;4.75;13.47;5.01;112.7;89.5;1.01;7.01
C14;1.2;14;3.0;7;290;4.39;4.39;11.42;4.75;104.1;80.7;1.01;7.01
C14;1.4;14;3.0;7;290;4.11;4.11;9.96;4.54;97.5;73.9;1.01;7.01
C14;1.6;14;3.0;7;290;3.88;3.88;8.87;4.37;92.0;68.5;1.01;7.01
C14;1.8;14;3.0;7;290;3.69;3.69;8.01;4.22;87.5;64.0;1.01;7.01
C14;2.0;14;3.0;7;290;3.53;3.53;7.33;4.10;83.7;60.2;1.01;7.01
C14;2.2;14;3.0;7;290;3.40;3.40;6.77;3.99;80.6;56.9;1.01;7.01
C14;2.4;14;3.0;7;290;3.28;3.28;6.31;3.89;77.8;54.0;1.01;7.01
C14;2.6;14;3.0;7;290;3.17;3.17;5.92;3.81;75.2;51.6;1.01;7.01
C14;2.8;14;3.0;7;290;3.08;3.08;5.58;3.73;73.1;49.3;1.01;7.01
C14;3.0;14;3.0;7;290;2.99;2.99;5.29;3.66;70.9;47.4;1.01;7.01
C14;3.2;14;3.0;7;290;2.92;2.92;5.03;3.59;69.3;45.5;1.01;7.01
C14;3.4;14;3.0;7;290;2.85;2.85;4.81;3.53;67.6;43.9;1.01;7.01
C14;3.6;14;3.0;7;290;2.78;2.78;4.61;3.48;65.9;42.5;1.01;7.01
C14;3.8;14;3.0;7;290;2.73;2.73;4.43;3.42;64.8;41.0;1.01;7.01
C14;4.0;14;3.0;7;290;2.67;2.67;4.26;3.38;63.3;39.8;1.01;7.01
C14;4.2;14;3.0;7;290;2.62;2.62;4.12;3.33;62.1;38.6;1.01;7.01
C14;4.4;14;3.0;7;290;2.58;2.58;3.99;3.29;61.2;37.5;1.01;7.01
C14;4.6;14;3.0;7;290;2.53;2.53;3.86;3.25;60.0;36.5;1.01;7.01
C14;4.8;14;3.0;7;290;2.49;2.49;3.75;3.21;59.1;35.6;1.01;7.01
C14;5.0;14;3.0;7;290;2.45;2.45;3.65;3.18;58.1;34.7;1.01;7.01
C16;0.4;16;3.2;8;310;6.85;7.64;33.91;6.85;162.5;155.3;1.01;7.01
C16;0.6;16;3.2;8;310;6.06;6.34;23.01;6.06;143.7;117.0;1.01;7.01
C16;0.8;16;3.2;8;310;5.56;5.57;17.56;5.56;131.9;95.7;1.01;7.01
C16;1.0;16;3.2;8;310;5.04;5.04;14.28;5.21;119.5;84.4;1.01;7.01
C16;1.2;16;3.2;8;310;4.65;4.65;12.10;4.94;110.3;76.3;1.01;7.01
C16;1.4;16;3.2;8;310;4.35;4.35;10.54;4.72;103.2;69.9;1.01;7.01
C16;1.6;16;3.2;8;310;4.11;4.11;9.38;4.54;97.5;64.7;1.01;7.01
C16;1.8;16;3.2;8;310;3.91;3.91;8.47;4.39;92.7;60.5;1.01;7.01
C16;2.0;16;3.2;8;310;3.74;3.74;7.74;4.26;88.7;56.9;1.01;7.01
C16;2.2;16;3.2;8;310;3.59;3.59;7.15;4.14;85.2;53.9;1.01;7.01
C16;2.4;16;3.2;8;310;3.46;3.46;6.65;4.04;82.1;51.2;1.01;7.01
C16;2.6;16;3.2;8;310;3.35;3.35;6.23;3.95;79.5;48.9;1.01;7.01
C16;2.8;16;3.2;8;310;3.25;3.25;5.87;3.87;77.1;46.8;1.01;7.01
C16;3.0;16;3.2;8;310;3.16;3.16;5.56;3.80;75.0;44.9;1.01;7.01
C16;3.2;16;3.2;8;310;3.08;3.08;5.29;3.73;73.1;43.2;1.01;7.01
C16;3.4;16;3.2;8;310;3.00;3.00;5.05;3.66;71.2;41.7;1.01;7.01
C16;3.6;16;3.2;8;310;2.94;2.94;4.83;3.61;69.7;40.2;1.01;7.01
C16;3.8;16;3.2;8;310;2.87;2.87;4.64;3.55;68.1;39.0;1.01;7.01
C16;4.0;16;3.2;8;310;2.82;2.82;4.47;3.50;66.9;37.7;1.01;7.01
C16;4.2;16;3.2;8;310;2.76;2.76;4.31;3.46;65.5;36.7;1.01;7.01
C16;4.4;16;3.2;8;310;2.71;2.71;4.17;3.41;64.3;35.7;1.01;7.01
C16;4.6;16;3.2;8;310;2.67;2.67;4.04;3.37;63.3;34.6;1.01;7.01
C16;4.8;16;3.2;8;310;2.62;2.62;3.92;3.33;62.1;33.8;1.01;7.01
C16;5.0;16;3.2;8;310;2.58;2.58;3.81;3.29;61.2;33.0;1.01;7.01
C18;0.4;18;3.4;9;320;7.10;8.07;35.96;7.10;168.4;149.9;1.01;7.01
C18;0.6;18;3.4;9;320;6.28;6.69;24.37;6.28;149.0;113.0;1.01;7.01
C18;0.8;18;3.4;9;320;5.76;5.87;18.58;5.76;136.6;92.4;1.01;7.01
C18;1.0;18;3.4;9;320;5.31;5.31;15.10;5.39;125.9;80.2;1.01;7.01
C18;1.2;18;3.4;9;320;4.90;4.90;12.78;5.11;116.2;72.4;1.01;7.01
C18;1.4;18;3.4;9;320;4.58;4.58;11.13;4.88;108.6;66.4;1.01;7.01
C18;1.6;18;3.4;9;320;4.32;4.32;9.89;4.70;102.5;61.6;1.01;7.01
C18;1.8;18;3.4;9;320;4.11;4.11;8.92;4.54;97.5;57.5;1.01;7.01
C18;2.0;18;3.4;9;320;3.93;3.93;8.15;4.40;93.2;54.2;1.01;7.01
C18;2.2;18;3.4;9;320;3.77;3.77;7.52;4.29;89.4;51.3;1.01;7.01
C18;2.4;18;3.4;9;320;3.64;3.64;6.99;4.18;86.3;48.7;1.01;7.01
C18;2.6;18;3.4;9;320;3.52;3.52;6.54;4.09;83.5;46.5;1.01;7.01
C18;2.8;18;3.4;9;320;3.41;3.41;6.16;4.00;80.9;44.6;1.01;7.01
C18;3.0;18;3.4;9;320;3.31;3.31;5.83;3.92;78.5;42.9;1.01;7.01
C18;3.2;18;3.4;9;320;3.23;3.23;5.54;3.85;76.6;41.2;1.01;7.01
C18;3.4;18;3.4;9;320;3.15;3.15;5.29;3.79;74.7;39.7;1.01;7.01
C18;3.6;18;3.4;9;320;3.08;3.08;5.06;3.73;73.1;38.4;1.01;7.01
C18;3.8;18;3.4;9;320;3.01;3.01;4.86;3.67;71.4;37.2;1.01;7.01
C18;4.0;18;3.4;9;320;2.95;2.95;4.67;3.62;70.0;36.1;1.01;7.01
C18;4.2;18;3.4;9;320;2.89;2.89;4.51;3.57;68.5;35.1;1.01;7.01
C18;4.4;18;3.4;9;320;2.84;2.84;4.36;3.52;67.4;34.1;1.01;7.01
C18;4.6;18;3.4;9;320;2.79;2.79;4.22;3.48;66.2;33.2;1.01;7.01
C18;4.8;18;3.4;9;320;2.74;2.74;4.09;3.44;65.0;32.4;1.01;7.01
C18;5.0;18;3.4;9;320;2.70;2.70;3.98;3.40;64.0;31.5;1.01;7.01
C20;0.4;20;3.6;9.5;330;7.22;8.47;38.00;7.22;171.3;147.4;1.01;7.02
C20;0.6;20;3.6;9.5;330;6.39;7.02;25.73;6.39;151.6;111.0;1.01;7.02
C20;0.8;20;3.6;9.5;330;5.86;6.15;19.60;5.86;139.0;90.8;1.01;7.02
C20;1.0;20;3.6;9.5;330;5.48;5.56;15.92;5.48;130.0;77.7;1.01;7.02
C20;1.2;20;3.6;9.5;330;5.13;5.13;13.46;5.19;121.7;69.2;1.01;7.02
C20;1.4;20;3.6;9.5;330;4.79;4.79;11.71;4.96;113.6;63.5;1.01;7.02
C20;1.6;20;3.6;9.5;330;4.52;4.52;10.40;4.77;107.2;58.9;1.01;7.02
C20;1.8;20;3.6;9.5;330;4.30;4.30;9.38;4.61;102.0;55.0;1.01;7.02
C20;2.0;20;3.6;9.5;330;4.11;4.11;8.56;4.47;97.5;51.8;1.01;7.02
C20;2.2;20;3.6;9.5;330;3.94;3.94;7.89;4.35;93.5;49.1;1.01;7.02
C20;2.4;20;3.6;9.5;330;3.80;3.80;7.33;4.24;90.1;46.7;1.01;7.02
C20;2.6;20;3.6;9.5;330;3.67;3.67;6.86;4.15;87.0;44.6;1.01;7.02
C20;2.8;20;3.6;9.5;330;3.56;3.56;6.45;4.06;84.4;42.7;1.01;7.02
C20;3.0;20;3.6;9.5;330;3.46;3.46;6.10;3.98;82.1;41.0;1.01;7.02
C20;3.2;20;3.6;9.5;330;3.37;3.37;5.80;3.91;79.9;39.5;1.01;7.02
C20;3.4;20;3.6;9.5;330;3.29;3.29;5.53;3.85;78.0;38.1;1.01;7.02
C20;3.6;20;3.6;9.5;330;3.21;3.21;5.29;3.78;76.1;36.8;1.01;7.02
C20;3.8;20;3.6;9.5;330;3.14;3.14;5.07;3.73;74.5;35.7;1.01;7.02
C20;4.0;20;3.6;9.5;330;3.08;3.08;4.88;3.67;73.1;34.6;1.01;7.02
C20;4.2;20;3.6;9.5;330;3.02;3.02;4.70;3.62;71.6;33.6;1.01;7.02
C20;4.4;20;3.6;9.5;330;2.96;2.96;4.54;3.58;70.2;32.7;1.01;7.02
C20;4.6;20;3.6;9.5;330;2.91;2.91;4.40;3.53;69.0;31.8;1.01;7.02
C20;4.8;20;3.6;9.5;330;2.86;2.86;4.26;3.49;67.8;31.0;1.01;7.02
C20;5.0;20;3.6;9.5;330;2.82;2.82;4.14;3.45;66.9;30.2;1.01;7.02
C22;0.4;22;3.8;10;340;7.34;8.85;40.04;7.34;174.1;145.1;1.01;7.02
C22;0.6;22;3.8;10;340;6.49;7.33;27.09;6.49;153.9;109.4;1.01;7.02
C22;0.8;22;3.8;10;340;5.95;6.42;20.62;5.95;141.1;89.5;1.01;7.02
C22;1.0;22;3.8;10;340;5.56;5.81;16.73;5.56;131.9;76.6;1.01;7.02
C22;1.2;22;3.8;10;340;5.27;5.35;14.14;5.27;125.0;67.3;1.01;7.02
C22;1.4;22;3.8;10;340;5.00;5.00;12.30;5.04;118.6;60.8;1.01;7.02
C22;1.6;22;3.8;10;340;4.71;4.71;10.91;4.84;111.7;56.5;1.01;7.02
C22;1.8;22;3.8;10;340;4.48;4.48;9.83;4.68;106.3;52.8;1.01;7.02
C22;2.0;22;3.8;10;340;4.28;4.28;8.97;4.54;101.5;49.8;1.01;7.02
C22;2.2;22;3.8;10;340;4.11;4.11;8.26;4.42;97.5;47.1;1.01;7.02
C22;2.4;22;3.8;10;340;3.96;3.96;7.67;4.31;93.9;44.8;1.01;7.02
C22;2.6;22;3.8;10;340;3.82;3.82;7.17;4.21;90.6;42.9;1.01;7.02
C22;2.8;22;3.8;10;340;3.71;3.71;6.75;4.12;88.0;41.0;1.01;7.02
C22;3.0;22;3.8;10;340;3.60;3.60;6.38;4.04;85.4;39.4;1.01;7.02
C22;3.2;22;3.8;10;340;3.51;3.51;6.05;3.97;83.3;37.9;1.01;7.02
C22;3.4;22;3.8;10;340;3.42;3.42;5.77;3.90;81.1;36.6;1.01;7.02
C22;3.6;22;3.8;10;340;3.34;3.34;5.51;3.84;79.2;35.4;1.01;7.02
C22;3.8;22;3.8;10;340;3.27;3.27;5.29;3.78;77.6;34.3;1.01;7.02
C22;4.0;22;3.8;10;340;3.20;3.20;5.08;3.73;75.9;33.3;1.01;7.02
C22;4.2;22;3.8;10;340;3.14;3.14;4.90;3.68;74.5;32.3;1.01;7.02
C22;4.4;22;3.8;10;340;3.08;3.08;4.73;3.63;73.1;31.4;1.01;7.02
C22;4.6;22;3.8;10;340;3.02;3.02;4.58;3.58;71.6;30.7;1.01;7.02
C22;4.8;22;3.8;10;340;2.97;2.97;4.43;3.54;70.4;29.9;1.01;7.02
C22;5.0;22;3.8;10;340;2.92;2.92;4.31;3.50;69.3;29.2;1.01;7.02
C24;0.4;24;4.0;11;350;7.55;9.22;42.08;7.55;179.1;141.1;1.01;7.02
C24;0.6;24;4.0;11;350;6.68;7.63;28.45;6.68;158.4;106.3;1.01;7.02
C24;0.8;24;4.0;11;350;6.12;6.68;21.64;6.12;145.2;87.0;1.01;7.02
C24;1.0;24;4.0;11;350;5.72;6.04;17.55;5.72;135.7;74.5;1.01;7.02
C24;1.2;24;4.0;11;350;5.42;5.56;14.83;5.42;128.6;65.5;1.01;7.02
C24;1.4;24;4.0;11;350;5.18;5.19;12.88;5.18;122.9;58.7;1.01;7.02
C24;1.6;24;4.0;11;350;4.90;4.90;11.42;4.98;116.2;54.3;1.01;7.02
C24;1.8;24;4.0;11;350;4.65;4.65;10.28;4.81;110.3;50.9;1.01;7.02
C24;2.0;24;4.0;11;350;4.44;4.44;9.37;4.67;105.3;48.0;1.01;7.02
C24;2.2;24;4.0;11;350;4.26;4.26;8.63;4.54;101.0;45.5;1.01;7.02
C24;2.4;24;4.0;11;350;4.11;4.11;8.01;4.43;97.5;43.2;1.01;7.02
C24;2.6;24;4.0;11;350;3.97;3.97;7.49;4.33;94.2;41.3;1.01;7.02
C24;2.8;24;4.0;11;350;3.84;3.84;7.04;4.24;91.1;39.6;1.01;7.02
C24;3.0;24;4.0;11;350;3.73;3.73;6.65;4.15;88.5;38.1;1.01;7.02
